Student_ID,Enrollment_Date,Region,City,Course_Name,Learning_Mode,Fees_Paid,Attendance_Percent,Course_Status,Placement_Status
1000000,2022-05-29,West,Mumbai,Python,Offline,144770.33,40,Ongoing,Not Placed
1000001,2022-01-29,nan,Chennai,Web Development,Hybrid,174792.23,52,nan,Not Placed
1000002,2021-01-22,South,Kolkata,Web Development,Online,92417.81,79,Completed,Placed
1000003,2022-12-15,North,Pune,Cyber Security,Online,105916.82,89,Dropped,Not Placed
1000004,2022-06-07,East,Hyderabad,Python,Offline,18927.99,68,Completed,Not Eligible
1000005,2020-11-15,North,Ahmedabad,AI/ML,Offline,189905.37,52,Completed,Not Eligible
1000006,2023-07-17,West,Mumbai,Data Science,Offline,34366.37,46,Ongoing,Not Placed
1000007,2020-11-20,Central,Kolkata,Cyber Security,Online,76791.85,82,Dropped,Not Eligible
1000008,2022-07-28,Central,Mumbai,Cyber Security,Online,61215.88,50,nan,Not Placed
1000009,2022-12-16,North,Mumbai,AI/ML,Online,65238.08,45,Ongoing,Placed
1000010,2022-09-06,North,Ahmedabad,Web Development,Hybrid,169195.95,96,Completed,Not Eligible
1000011,2022-06-11,South,Ahmedabad,AI/ML,Offline,237694.01,80,Ongoing,Placed
1000012,2021-08-06,nan,Mumbai,Python,Online,187727.36,40,Ongoing,Placed
1000013,2020-12-24,nan,Mumbai,Cyber Security,Online,236758.64,62,Completed,Placed
1000014,2020-06-11,nan,Kolkata,Cyber Security,Offline,235745.02,97,Ongoing,Placed
1000015,2022-05-13,nan,Pune,AI/ML,Online,7639.9,87,Ongoing,Not Eligible
1000016,2022-08-13,nan,Bengaluru,Python,Online,237661.61,57,Completed,nan
1000017,2021-02-13,West,Mumbai,AI/ML,Offline,98110.4,84,Ongoing,Not Eligible
1000018,2022-07-20,South,Mumbai,AI/ML,Hybrid,50558.12,58,Completed,Not Placed
1000019,2022-04-28,nan,Hyderabad,nan,Online,217733.41,,Ongoing,Not Placed
1000020,2021-03-24,East,nan,AI/ML,Online,213067.45,41,Completed,Not Placed
1000021,2021-02-13,East,Chennai,Python,Online,26918.11,58,Completed,Placed
1000022,2021-10-04,nan,Chennai,Cyber Security,Offline,239751.51,72,Ongoing,Not Eligible
1000023,2022-04-26,South,Bengaluru,Cyber Security,Offline,72628.07,67,Dropped,Not Eligible
1000024,2020-10-11,nan,Delhi,nan,Online,181504.1,83,Completed,Not Placed
1000025,2022-04-01,nan,Mumbai,AI/ML,Online,13702.2,63,nan,Not Eligible
1000026,2021-10-25,East,Pune,nan,Offline,153059.6,48,Ongoing,Placed
1000027,2021-03-12,nan,Ahmedabad,Data Science,Online,130767.11,49,Ongoing,Not Placed
1000028,2022-03-03,North,Ahmedabad,Python,Online,102860.97,46,nan,Placed
1000029,2023-09-06,East,Delhi,Python,Offline,169545.66,59,Completed,Not Placed
1000030,2022-08-15,South,Bengaluru,nan,Online,217974.71,,Completed,Not Placed
1000031,2023-03-25,South,Hyderabad,Cyber Security,Online,41897.06,47,Dropped,Not Placed
1000032,2022-07-27,East,Delhi,Python,Online,159944.67,84,Completed,nan
1000033,2023-01-16,South,Delhi,Cyber Security,Offline,144359.89,88,Ongoing,Placed
1000034,2021-09-28,nan,Bengaluru,AI/ML,Offline,146108.66,89,Ongoing,Placed
1000035,2020-09-18,West,Ahmedabad,Python,Hybrid,76834.32,89,Ongoing,Not Eligible
1000036,2021-04-16,nan,nan,Cyber Security,Online,23367.66,76,Completed,Not Placed
1000037,2020-12-24,East,Ahmedabad,Python,Online,181143.01,68,Dropped,Not Placed
1000038,2022-10-25,East,Ahmedabad,AI/ML,Online,243234.8,96,Ongoing,Placed
1000039,2022-02-04,North,Pune,AI/ML,Online,180117.8,89,Ongoing,nan
1000040,2021-09-26,nan,Hyderabad,Web Development,Offline,114380.26,54,Completed,Placed
1000041,2022-03-28,West,Mumbai,Data Science,Online,159334,76,Completed,Not Eligible
1000042,2023-09-01,North,Mumbai,Data Science,Online,233539.29,75,Ongoing,Placed
1000043,2021-07-08,West,Ahmedabad,Data Science,Offline,235449.27,65,Completed,Placed
1000044,2021-03-30,West,nan,nan,Online,233726.6,53,nan,nan
1000045,2022-12-16,East,Ahmedabad,Cyber Security,Offline,104084.73,49,Ongoing,Placed
1000046,2021-08-15,West,Mumbai,AI/ML,Online,115425.45,78,Completed,nan
1000047,2023-05-16,North,Kolkata,AI/ML,Online,48690.58,69,Ongoing,Placed
1000048,2020-12-31,West,Delhi,Cloud Computing,Offline,175156.99,90,Ongoing,Not Placed
1000049,2022-07-28,Central,Ahmedabad,Python,Offline,124355.78,93,Ongoing,Not Eligible
1000050,2021-03-11,West,Delhi,AI/ML,Offline,63147.25,46,Ongoing,Not Eligible
1000051,2022-05-12,West,Kolkata,Data Science,Online,32000.26,86,Dropped,Placed
1000052,2023-06-08,nan,nan,Data Science,Online,106684.98,97,Ongoing,Not Placed
1000053,2022-01-04,East,nan,Cyber Security,Hybrid,194141.67,67,Dropped,Placed
1000054,2021-03-18,Central,Ahmedabad,Python,Hybrid,122029.74,48,Ongoing,nan
1000055,2020-07-18,East,Ahmedabad,Cyber Security,Online,168173.81,86,Completed,Placed
1000056,2023-04-21,East,Hyderabad,Cyber Security,Offline,228933.42,91,Ongoing,Not Placed
1000057,2021-02-10,North,Delhi,Web Development,Hybrid,219649.64,,Dropped,Not Placed
1000058,2020-06-24,South,nan,Cyber Security,Online,77887.85,96,Completed,Not Placed
1000059,2021-08-22,nan,nan,AI/ML,Offline,143228.13,55,nan,Not Placed
1000060,2020-10-05,nan,Hyderabad,AI/ML,Online,204987.25,88,Ongoing,Not Placed
1000061,2021-03-15,West,Kolkata,Python,Online,7608.19,99,nan,Not Placed
1000062,2022-04-28,North,Bengaluru,nan,Online,30747.97,61,Completed,Not Eligible
1000063,2022-06-08,North,Mumbai,AI/ML,Online,214378.64,92,Ongoing,Not Placed
1000064,2023-06-28,West,Bengaluru,Data Science,Hybrid,29674.38,73,Ongoing,Not Placed
